"","sid","type","spec_batch","pno_br","mzo_br","pno_purity","prep_batch","blender_batch","sid_type","rep_batch","all_batch","all_br","all_label"
"7","101","N","20200911","1","1",90.5,"26/08/2020","Jo","101_N",1,"20200911_26/08/2020_Jo","11","11_90.5"
"8","101","N","20200911","1","1",90.5,"26/08/2020","Jo","101_N",1,"20200911_26/08/2020_Jo","11","11_90.5"
"9","101","N","20200911","1","1",90.5,"26/08/2020","Jo","101_N",1,"20200911_26/08/2020_Jo","11","11_90.5"
"10","101","N","20200911","1","1",90.5,"26/08/2020","Jo","101_N",1,"20200911_26/08/2020_Jo","11","11_90.5"
"11","101","N","20200911","1","1",90.5,"26/08/2020","Jo","101_N",1,"20200911_26/08/2020_Jo","11","11_90.5"
"12","101","N","20200911","1","1",90.5,"26/08/2020","Jo","101_N",1,"20200911_26/08/2020_Jo","11","11_90.5"
"37","106","N","20200910","1","1",90,"26/08/2020","JE","106_N",1,"20200910_26/08/2020_JE","11","11_90"
"38","106","N","20200910","1","1",90,"26/08/2020","JE","106_N",1,"20200910_26/08/2020_JE","11","11_90"
"39","106","N","20200910","1","1",90,"26/08/2020","JE","106_N",1,"20200910_26/08/2020_JE","11","11_90"
"40","106","N","20200910","1","1",90,"26/08/2020","JE","106_N",1,"20200910_26/08/2020_JE","11","11_90"
"41","106","N","20200910","1","1",90,"26/08/2020","JE","106_N",1,"20200910_26/08/2020_JE","11","11_90"
"42","106","N","20200910","1","1",90,"26/08/2020","JE","106_N",1,"20200910_26/08/2020_JE","11","11_90"
"61","11","N","20200909","1","1",99.5,"26/08/2020","Jo","11_N",1,"20200909_26/08/2020_Jo","11","11_99.5"
"62","11","N","20200909","1","1",99.5,"26/08/2020","Jo","11_N",1,"20200909_26/08/2020_Jo","11","11_99.5"
"63","11","N","20200909","1","1",99.5,"26/08/2020","Jo","11_N",1,"20200909_26/08/2020_Jo","11","11_99.5"
"64","11","N","20200909","1","1",99.5,"26/08/2020","Jo","11_N",1,"20200909_26/08/2020_Jo","11","11_99.5"
"65","11","N","20200909","1","1",99.5,"26/08/2020","Jo","11_N",1,"20200909_26/08/2020_Jo","11","11_99.5"
"66","11","N","20200909","1","1",99.5,"26/08/2020","Jo","11_N",1,"20200909_26/08/2020_Jo","11","11_99.5"
"73","111","N","20200903","1","1",89.5,"26/08/2020","JE","111_N",1,"20200903_26/08/2020_JE","11","11_89.5"
"74","111","N","20200903","1","1",89.5,"26/08/2020","JE","111_N",1,"20200903_26/08/2020_JE","11","11_89.5"
"75","111","N","20200903","1","1",89.5,"26/08/2020","JE","111_N",1,"20200903_26/08/2020_JE","11","11_89.5"
"76","111","N","20200903","1","1",89.5,"26/08/2020","JE","111_N",1,"20200903_26/08/2020_JE","11","11_89.5"
"77","111","N","20200903","1","1",89.5,"26/08/2020","JE","111_N",1,"20200903_26/08/2020_JE","11","11_89.5"
"78","111","N","20200903","1","1",89.5,"26/08/2020","JE","111_N",1,"20200903_26/08/2020_JE","11","11_89.5"
"103","116","N","20200901","1","1",89,"26/08/2020","JE","116_N",1,"20200901_26/08/2020_JE","11","11_89"
"104","116","N","20200901","1","1",89,"26/08/2020","JE","116_N",1,"20200901_26/08/2020_JE","11","11_89"
"105","116","N","20200901","1","1",89,"26/08/2020","JE","116_N",1,"20200901_26/08/2020_JE","11","11_89"
"106","116","N","20200901","1","1",89,"26/08/2020","JE","116_N",1,"20200901_26/08/2020_JE","11","11_89"
"107","116","N","20200901","1","1",89,"26/08/2020","JE","116_N",1,"20200901_26/08/2020_JE","11","11_89"
"108","116","N","20200901","1","1",89,"26/08/2020","JE","116_N",1,"20200901_26/08/2020_JE","11","11_89"
"139","121","N","20200908","1","1",88.5,"26/08/2020","JE","121_N",1,"20200908_26/08/2020_JE","11","11_88.5"
"140","121","N","20200908","1","1",88.5,"26/08/2020","JE","121_N",1,"20200908_26/08/2020_JE","11","11_88.5"
"141","121","N","20200908","1","1",88.5,"26/08/2020","JE","121_N",1,"20200908_26/08/2020_JE","11","11_88.5"
"142","121","N","20200908","1","1",88.5,"26/08/2020","JE","121_N",1,"20200908_26/08/2020_JE","11","11_88.5"
"143","121","N","20200908","1","1",88.5,"26/08/2020","JE","121_N",1,"20200908_26/08/2020_JE","11","11_88.5"
"144","121","N","20200908","1","1",88.5,"26/08/2020","JE","121_N",1,"20200908_26/08/2020_JE","11","11_88.5"
"169","126","N","20200903","1","1",88,"26/08/2020","JE","126_N",1,"20200903_26/08/2020_JE","11","11_88"
"170","126","N","20200903","1","1",88,"26/08/2020","JE","126_N",1,"20200903_26/08/2020_JE","11","11_88"
"171","126","N","20200903","1","1",88,"26/08/2020","JE","126_N",1,"20200903_26/08/2020_JE","11","11_88"
"172","126","N","20200903","1","1",88,"26/08/2020","JE","126_N",1,"20200903_26/08/2020_JE","11","11_88"
"173","126","N","20200903","1","1",88,"26/08/2020","JE","126_N",1,"20200903_26/08/2020_JE","11","11_88"
"174","126","N","20200903","1","1",88,"26/08/2020","JE","126_N",1,"20200903_26/08/2020_JE","11","11_88"
"205","131","N","20200911","1","1",87.5,"26/08/2020","JE","131_N",1,"20200911_26/08/2020_JE","11","11_87.5"
"206","131","N","20200911","1","1",87.5,"26/08/2020","JE","131_N",1,"20200911_26/08/2020_JE","11","11_87.5"
"207","131","N","20200911","1","1",87.5,"26/08/2020","JE","131_N",1,"20200911_26/08/2020_JE","11","11_87.5"
"208","131","N","20200911","1","1",87.5,"26/08/2020","JE","131_N",1,"20200911_26/08/2020_JE","11","11_87.5"
"209","131","N","20200911","1","1",87.5,"26/08/2020","JE","131_N",1,"20200911_26/08/2020_JE","11","11_87.5"
"210","131","N","20200911","1","1",87.5,"26/08/2020","JE","131_N",1,"20200911_26/08/2020_JE","11","11_87.5"
"235","136","N","20200909","1","1",87,"26/08/2020","JE","136_N",1,"20200909_26/08/2020_JE","11","11_87"
"236","136","N","20200909","1","1",87,"26/08/2020","JE","136_N",1,"20200909_26/08/2020_JE","11","11_87"
"237","136","N","20200909","1","1",87,"26/08/2020","JE","136_N",1,"20200909_26/08/2020_JE","11","11_87"
"238","136","N","20200909","1","1",87,"26/08/2020","JE","136_N",1,"20200909_26/08/2020_JE","11","11_87"
"239","136","N","20200909","1","1",87,"26/08/2020","JE","136_N",1,"20200909_26/08/2020_JE","11","11_87"
"240","136","N","20200909","1","1",87,"26/08/2020","JE","136_N",1,"20200909_26/08/2020_JE","11","11_87"
"271","141","N","20200908","1","1",86.5,"26/08/2020","JE","141_N",1,"20200908_26/08/2020_JE","11","11_86.5"
"272","141","N","20200908","1","1",86.5,"26/08/2020","JE","141_N",1,"20200908_26/08/2020_JE","11","11_86.5"
"273","141","N","20200908","1","1",86.5,"26/08/2020","JE","141_N",1,"20200908_26/08/2020_JE","11","11_86.5"
"274","141","N","20200908","1","1",86.5,"26/08/2020","JE","141_N",1,"20200908_26/08/2020_JE","11","11_86.5"
"275","141","N","20200908","1","1",86.5,"26/08/2020","JE","141_N",1,"20200908_26/08/2020_JE","11","11_86.5"
"276","141","N","20200908","1","1",86.5,"26/08/2020","JE","141_N",1,"20200908_26/08/2020_JE","11","11_86.5"
"301","146","N","20200911","1","1",86,"26/08/2020","JE","146_N",1,"20200911_26/08/2020_JE","11","11_86"
"302","146","N","20200911","1","1",86,"26/08/2020","JE","146_N",1,"20200911_26/08/2020_JE","11","11_86"
"303","146","N","20200911","1","1",86,"26/08/2020","JE","146_N",1,"20200911_26/08/2020_JE","11","11_86"
"304","146","N","20200911","1","1",86,"26/08/2020","JE","146_N",1,"20200911_26/08/2020_JE","11","11_86"
"305","146","N","20200911","1","1",86,"26/08/2020","JE","146_N",1,"20200911_26/08/2020_JE","11","11_86"
"306","146","N","20200911","1","1",86,"26/08/2020","JE","146_N",1,"20200911_26/08/2020_JE","11","11_86"
"337","151","N","20200911","1","1",85.5,"26/08/2020","JE","151_N",1,"20200911_26/08/2020_JE","11","11_85.5"
"338","151","N","20200911","1","1",85.5,"26/08/2020","JE","151_N",1,"20200911_26/08/2020_JE","11","11_85.5"
"339","151","N","20200911","1","1",85.5,"26/08/2020","JE","151_N",1,"20200911_26/08/2020_JE","11","11_85.5"
"340","151","N","20200911","1","1",85.5,"26/08/2020","JE","151_N",1,"20200911_26/08/2020_JE","11","11_85.5"
"341","151","N","20200911","1","1",85.5,"26/08/2020","JE","151_N",1,"20200911_26/08/2020_JE","11","11_85.5"
"342","151","N","20200911","1","1",85.5,"26/08/2020","JE","151_N",1,"20200911_26/08/2020_JE","11","11_85.5"
"367","156","N","20200910","1","1",85,"26/08/2020","JE","156_N",1,"20200910_26/08/2020_JE","11","11_85"
"368","156","N","20200910","1","1",85,"26/08/2020","JE","156_N",1,"20200910_26/08/2020_JE","11","11_85"
"369","156","N","20200910","1","1",85,"26/08/2020","JE","156_N",1,"20200910_26/08/2020_JE","11","11_85"
"370","156","N","20200910","1","1",85,"26/08/2020","JE","156_N",1,"20200910_26/08/2020_JE","11","11_85"
"371","156","N","20200910","1","1",85,"26/08/2020","JE","156_N",1,"20200910_26/08/2020_JE","11","11_85"
"372","156","N","20200910","1","1",85,"26/08/2020","JE","156_N",1,"20200910_26/08/2020_JE","11","11_85"
"391","16","N","20200914","1","1",99,"26/08/2020","Jo","16_N",1,"20200914_26/08/2020_Jo","11","11_99"
"392","16","N","20200914","1","1",99,"26/08/2020","Jo","16_N",1,"20200914_26/08/2020_Jo","11","11_99"
"393","16","N","20200914","1","1",99,"26/08/2020","Jo","16_N",1,"20200914_26/08/2020_Jo","11","11_99"
"394","16","N","20200914","1","1",99,"26/08/2020","Jo","16_N",1,"20200914_26/08/2020_Jo","11","11_99"
"395","16","N","20200914","1","1",99,"26/08/2020","Jo","16_N",1,"20200914_26/08/2020_Jo","11","11_99"
"396","16","N","20200914","1","1",99,"26/08/2020","Jo","16_N",1,"20200914_26/08/2020_Jo","11","11_99"
"403","161","N","20200911","1","1",80,"26/08/2020","JE","161_N",1,"20200911_26/08/2020_JE","11","11_80"
"404","161","N","20200911","1","1",80,"26/08/2020","JE","161_N",1,"20200911_26/08/2020_JE","11","11_80"
"405","161","N","20200911","1","1",80,"26/08/2020","JE","161_N",1,"20200911_26/08/2020_JE","11","11_80"
"406","161","N","20200911","1","1",80,"26/08/2020","JE","161_N",1,"20200911_26/08/2020_JE","11","11_80"
"407","161","N","20200911","1","1",80,"26/08/2020","JE","161_N",1,"20200911_26/08/2020_JE","11","11_80"
"408","161","N","20200911","1","1",80,"26/08/2020","JE","161_N",1,"20200911_26/08/2020_JE","11","11_80"
"433","166","N","20200901","1","1",70,"26/08/2020","JE","166_N",1,"20200901_26/08/2020_JE","11","11_70"
"434","166","N","20200901","1","1",70,"26/08/2020","JE","166_N",1,"20200901_26/08/2020_JE","11","11_70"
"435","166","N","20200901","1","1",70,"26/08/2020","JE","166_N",1,"20200901_26/08/2020_JE","11","11_70"
"436","166","N","20200901","1","1",70,"26/08/2020","JE","166_N",1,"20200901_26/08/2020_JE","11","11_70"
"437","166","N","20200901","1","1",70,"26/08/2020","JE","166_N",1,"20200901_26/08/2020_JE","11","11_70"
"438","166","N","20200901","1","1",70,"26/08/2020","JE","166_N",1,"20200901_26/08/2020_JE","11","11_70"
"469","171","N","20200901","1","1",60,"26/08/2020","JE","171_N",1,"20200901_26/08/2020_JE","11","11_60"
"470","171","N","20200901","1","1",60,"26/08/2020","JE","171_N",1,"20200901_26/08/2020_JE","11","11_60"
"471","171","N","20200901","1","1",60,"26/08/2020","JE","171_N",1,"20200901_26/08/2020_JE","11","11_60"
"472","171","N","20200901","1","1",60,"26/08/2020","JE","171_N",1,"20200901_26/08/2020_JE","11","11_60"
"473","171","N","20200901","1","1",60,"26/08/2020","JE","171_N",1,"20200901_26/08/2020_JE","11","11_60"
"474","171","N","20200901","1","1",60,"26/08/2020","JE","171_N",1,"20200901_26/08/2020_JE","11","11_60"
"499","176","N","20200910","1","1",50,"26/08/2020","JE","176_N",1,"20200910_26/08/2020_JE","11","11_50"
"500","176","N","20200910","1","1",50,"26/08/2020","JE","176_N",1,"20200910_26/08/2020_JE","11","11_50"
"501","176","N","20200910","1","1",50,"26/08/2020","JE","176_N",1,"20200910_26/08/2020_JE","11","11_50"
"502","176","N","20200910","1","1",50,"26/08/2020","JE","176_N",1,"20200910_26/08/2020_JE","11","11_50"
"503","176","N","20200910","1","1",50,"26/08/2020","JE","176_N",1,"20200910_26/08/2020_JE","11","11_50"
"504","176","N","20200910","1","1",50,"26/08/2020","JE","176_N",1,"20200910_26/08/2020_JE","11","11_50"
"535","181","N","20200831","1","1",40,"26/08/2020","JE","181_N",1,"20200831_26/08/2020_JE","11","11_40"
"536","181","N","20200831","1","1",40,"26/08/2020","JE","181_N",1,"20200831_26/08/2020_JE","11","11_40"
"537","181","N","20200831","1","1",40,"26/08/2020","JE","181_N",1,"20200831_26/08/2020_JE","11","11_40"
"538","181","N","20200831","1","1",40,"26/08/2020","JE","181_N",1,"20200831_26/08/2020_JE","11","11_40"
"539","181","N","20200831","1","1",40,"26/08/2020","JE","181_N",1,"20200831_26/08/2020_JE","11","11_40"
"540","181","N","20200831","1","1",40,"26/08/2020","JE","181_N",1,"20200831_26/08/2020_JE","11","11_40"
"565","186","N","20200904","1","1",30,"26/08/2020","JE","186_N",1,"20200904_26/08/2020_JE","11","11_30"
"566","186","N","20200904","1","1",30,"26/08/2020","JE","186_N",1,"20200904_26/08/2020_JE","11","11_30"
"567","186","N","20200904","1","1",30,"26/08/2020","JE","186_N",1,"20200904_26/08/2020_JE","11","11_30"
"568","186","N","20200904","1","1",30,"26/08/2020","JE","186_N",1,"20200904_26/08/2020_JE","11","11_30"
"569","186","N","20200904","1","1",30,"26/08/2020","JE","186_N",1,"20200904_26/08/2020_JE","11","11_30"
"570","186","N","20200904","1","1",30,"26/08/2020","JE","186_N",1,"20200904_26/08/2020_JE","11","11_30"
"601","191","N","20200911","1","1",20,"26/08/2020","JE","191_N",1,"20200911_26/08/2020_JE","11","11_20"
"602","191","N","20200911","1","1",20,"26/08/2020","JE","191_N",1,"20200911_26/08/2020_JE","11","11_20"
"603","191","N","20200911","1","1",20,"26/08/2020","JE","191_N",1,"20200911_26/08/2020_JE","11","11_20"
"604","191","N","20200911","1","1",20,"26/08/2020","JE","191_N",1,"20200911_26/08/2020_JE","11","11_20"
"605","191","N","20200911","1","1",20,"26/08/2020","JE","191_N",1,"20200911_26/08/2020_JE","11","11_20"
"606","191","N","20200911","1","1",20,"26/08/2020","JE","191_N",1,"20200911_26/08/2020_JE","11","11_20"
"631","196","N","20200831","1","1",10,"26/08/2020","JE","196_N",1,"20200831_26/08/2020_JE","11","11_10"
"632","196","N","20200831","1","1",10,"26/08/2020","JE","196_N",1,"20200831_26/08/2020_JE","11","11_10"
"633","196","N","20200831","1","1",10,"26/08/2020","JE","196_N",1,"20200831_26/08/2020_JE","11","11_10"
"634","196","N","20200831","1","1",10,"26/08/2020","JE","196_N",1,"20200831_26/08/2020_JE","11","11_10"
"635","196","N","20200831","1","1",10,"26/08/2020","JE","196_N",1,"20200831_26/08/2020_JE","11","11_10"
"636","196","N","20200831","1","1",10,"26/08/2020","JE","196_N",1,"20200831_26/08/2020_JE","11","11_10"
"727","21","N","20200907","1","1",98.5,"26/08/2020","Jo","21_N",1,"20200907_26/08/2020_Jo","11","11_98.5"
"728","21","N","20200907","1","1",98.5,"26/08/2020","Jo","21_N",1,"20200907_26/08/2020_Jo","11","11_98.5"
"729","21","N","20200907","1","1",98.5,"26/08/2020","Jo","21_N",1,"20200907_26/08/2020_Jo","11","11_98.5"
"730","21","N","20200907","1","1",98.5,"26/08/2020","Jo","21_N",1,"20200907_26/08/2020_Jo","11","11_98.5"
