"","sid","type","spec_batch","pno_br","mzo_br","pno_purity","prep_batch","blender_batch","sid_type","rep_batch","all_batch","all_br","all_label"
"2565","1","QC","20200916","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200916_03/07/2020_NoBlend","01","01_0"
"2566","1","QC","20200916","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200916_03/07/2020_NoBlend","01","01_0"
"2567","1","QC","20200916","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200916_03/07/2020_NoBlend","01","01_0"
"2568","1","QC","20200916","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200916_03/07/2020_NoBlend","01","01_0"
"2569","10","QC","20200916","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200916_03/07/2020_NoBlend","50","50_100"
"2570","10","QC","20200916","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200916_03/07/2020_NoBlend","50","50_100"
"2572","10","QC","20200916","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200916_03/07/2020_NoBlend","50","50_100"
"2573","10","QC","20200916","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200916_03/07/2020_NoBlend","50","50_100"
"2575","5","QC","20200916","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200916_03/07/2020_NoBlend","05","05_0"
"2577","5","QC","20200916","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200916_03/07/2020_NoBlend","05","05_0"
"2578","5","QC","20200916","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200916_03/07/2020_NoBlend","05","05_0"
"2580","5","QC","20200916","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200916_03/07/2020_NoBlend","05","05_0"
"2581","6","QC","20200916","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200916_03/07/2020_NoBlend","10","10_100"
"2582","6","QC","20200916","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200916_03/07/2020_NoBlend","10","10_100"
"2584","6","QC","20200916","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200916_03/07/2020_NoBlend","10","10_100"
"2586","6","QC","20200916","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200916_03/07/2020_NoBlend","10","10_100"
"2587","1","QC","20200917","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200917_03/07/2020_NoBlend","01","01_0"
"2588","1","QC","20200917","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200917_03/07/2020_NoBlend","01","01_0"
"2591","1","QC","20200917","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200917_03/07/2020_NoBlend","01","01_0"
"2592","1","QC","20200917","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200917_03/07/2020_NoBlend","01","01_0"
"2593","10","QC","20200917","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200917_03/07/2020_NoBlend","50","50_100"
"2596","10","QC","20200917","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200917_03/07/2020_NoBlend","50","50_100"
"2597","10","QC","20200917","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200917_03/07/2020_NoBlend","50","50_100"
"2598","10","QC","20200917","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200917_03/07/2020_NoBlend","50","50_100"
"2599","5","QC","20200917","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200917_03/07/2020_NoBlend","05","05_0"
"2600","5","QC","20200917","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200917_03/07/2020_NoBlend","05","05_0"
"2602","5","QC","20200917","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200917_03/07/2020_NoBlend","05","05_0"
"2603","5","QC","20200917","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200917_03/07/2020_NoBlend","05","05_0"
"2605","6","QC","20200917","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200917_03/07/2020_NoBlend","10","10_100"
"2606","6","QC","20200917","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200917_03/07/2020_NoBlend","10","10_100"
"2609","6","QC","20200917","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200917_03/07/2020_NoBlend","10","10_100"
"2610","6","QC","20200917","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200917_03/07/2020_NoBlend","10","10_100"
"2611","1","QC","20200901","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200901_03/07/2020_NoBlend","01","01_0"
"2613","1","QC","20200901","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200901_03/07/2020_NoBlend","01","01_0"
"2615","1","QC","20200901","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200901_03/07/2020_NoBlend","01","01_0"
"2616","1","QC","20200901","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200901_03/07/2020_NoBlend","01","01_0"
"2617","10","QC","20200901","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200901_03/07/2020_NoBlend","50","50_100"
"2618","10","QC","20200901","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200901_03/07/2020_NoBlend","50","50_100"
"2621","10","QC","20200901","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200901_03/07/2020_NoBlend","50","50_100"
"2622","10","QC","20200901","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200901_03/07/2020_NoBlend","50","50_100"
"2623","5","QC","20200901","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200901_03/07/2020_NoBlend","05","05_0"
"2625","5","QC","20200901","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200901_03/07/2020_NoBlend","05","05_0"
"2626","5","QC","20200901","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200901_03/07/2020_NoBlend","05","05_0"
"2627","5","QC","20200901","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200901_03/07/2020_NoBlend","05","05_0"
"2629","6","QC","20200901","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200901_03/07/2020_NoBlend","10","10_100"
"2631","6","QC","20200901","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200901_03/07/2020_NoBlend","10","10_100"
"2632","6","QC","20200901","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200901_03/07/2020_NoBlend","10","10_100"
"2633","6","QC","20200901","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200901_03/07/2020_NoBlend","10","10_100"
"2637","1","QC","20200902","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200902_03/07/2020_NoBlend","01","01_0"
"2638","1","QC","20200902","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200902_03/07/2020_NoBlend","01","01_0"
"2639","1","QC","20200902","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200902_03/07/2020_NoBlend","01","01_0"
"2640","1","QC","20200902","0","1",0,"03/07/2020","NoBlend","1_QC",1,"20200902_03/07/2020_NoBlend","01","01_0"
"2641","10","QC","20200902","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200902_03/07/2020_NoBlend","50","50_100"
"2642","10","QC","20200902","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200902_03/07/2020_NoBlend","50","50_100"
"2644","10","QC","20200902","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200902_03/07/2020_NoBlend","50","50_100"
"2645","10","QC","20200902","5","0",100,"03/07/2020","NoBlend","10_QC",1,"20200902_03/07/2020_NoBlend","50","50_100"
"2648","5","QC","20200902","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200902_03/07/2020_NoBlend","05","05_0"
"2649","5","QC","20200902","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200902_03/07/2020_NoBlend","05","05_0"
"2650","5","QC","20200902","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200902_03/07/2020_NoBlend","05","05_0"
"2652","5","QC","20200902","0","5",0,"03/07/2020","NoBlend","5_QC",1,"20200902_03/07/2020_NoBlend","05","05_0"
"2653","6","QC","20200902","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200902_03/07/2020_NoBlend","10","10_100"
"2656","6","QC","20200902","1","0",100,"03/07/2020","NoBlend","6_QC",1,"20200902_03/07/2020_NoBlend","10","10_100"
