"","sid","type","spec_batch","pno_br","mzo_br","pno_purity","prep_batch","blender_batch","sid_type","rep_batch","all_batch","all_br","all_label"
"2041","407","N","20200917","5","5",97,"07/08/2020","JW","407_N",1,"20200917_07/08/2020_JW","55","55_97"
"2042","407","N","20200917","5","5",97,"07/08/2020","JW","407_N",1,"20200917_07/08/2020_JW","55","55_97"
"2043","407","N","20200917","5","5",97,"07/08/2020","JW","407_N",1,"20200917_07/08/2020_JW","55","55_97"
"2044","407","N","20200917","5","5",97,"07/08/2020","JW","407_N",1,"20200917_07/08/2020_JW","55","55_97"
"2045","407","N","20200917","5","5",97,"07/08/2020","JW","407_N",1,"20200917_07/08/2020_JW","55","55_97"
"2046","407","N","20200917","5","5",97,"07/08/2020","JW","407_N",1,"20200917_07/08/2020_JW","55","55_97"
"19811","407","N","20210112","5","5",97,"07/08/2020","JW","407_N",2,"20210112_07/08/2020_JW","55","55_97"
"19821","407","N","20210112","5","5",97,"07/08/2020","JW","407_N",2,"20210112_07/08/2020_JW","55","55_97"
"19831","407","N","20210112","5","5",97,"07/08/2020","JW","407_N",2,"20210112_07/08/2020_JW","55","55_97"
"19841","407","N","20210112","5","5",97,"07/08/2020","JW","407_N",2,"20210112_07/08/2020_JW","55","55_97"
"19851","407","N","20210112","5","5",97,"07/08/2020","JW","407_N",2,"20210112_07/08/2020_JW","55","55_97"
"19861","407","N","20210112","5","5",97,"07/08/2020","JW","407_N",2,"20210112_07/08/2020_JW","55","55_97"
