"","sid","type","spec_batch","pno_br","mzo_br","pno_purity","prep_batch","blender_batch","sid_type","rep_batch","all_batch","all_br","all_label"
"1","100","N","20200915","1","5",91,"26/08/2020","Jo","100_N",1,"20200915_26/08/2020_Jo","15","15_91"
"2","100","N","20200915","1","5",91,"26/08/2020","Jo","100_N",1,"20200915_26/08/2020_Jo","15","15_91"
"3","100","N","20200915","1","5",91,"26/08/2020","Jo","100_N",1,"20200915_26/08/2020_Jo","15","15_91"
"4","100","N","20200915","1","5",91,"26/08/2020","Jo","100_N",1,"20200915_26/08/2020_Jo","15","15_91"
"5","100","N","20200915","1","5",91,"26/08/2020","Jo","100_N",1,"20200915_26/08/2020_Jo","15","15_91"
"6","100","N","20200915","1","5",91,"26/08/2020","Jo","100_N",1,"20200915_26/08/2020_Jo","15","15_91"
"31","105","N","20200903","1","5",90.5,"26/08/2020","Jo","105_N",1,"20200903_26/08/2020_Jo","15","15_90.5"
"32","105","N","20200903","1","5",90.5,"26/08/2020","Jo","105_N",1,"20200903_26/08/2020_Jo","15","15_90.5"
"33","105","N","20200903","1","5",90.5,"26/08/2020","Jo","105_N",1,"20200903_26/08/2020_Jo","15","15_90.5"
"34","105","N","20200903","1","5",90.5,"26/08/2020","Jo","105_N",1,"20200903_26/08/2020_Jo","15","15_90.5"
"35","105","N","20200903","1","5",90.5,"26/08/2020","Jo","105_N",1,"20200903_26/08/2020_Jo","15","15_90.5"
"36","105","N","20200903","1","5",90.5,"26/08/2020","Jo","105_N",1,"20200903_26/08/2020_Jo","15","15_90.5"
"67","110","N","20200831","1","5",90,"26/08/2020","JE","110_N",1,"20200831_26/08/2020_JE","15","15_90"
"68","110","N","20200831","1","5",90,"26/08/2020","JE","110_N",1,"20200831_26/08/2020_JE","15","15_90"
"69","110","N","20200831","1","5",90,"26/08/2020","JE","110_N",1,"20200831_26/08/2020_JE","15","15_90"
"70","110","N","20200831","1","5",90,"26/08/2020","JE","110_N",1,"20200831_26/08/2020_JE","15","15_90"
"71","110","N","20200831","1","5",90,"26/08/2020","JE","110_N",1,"20200831_26/08/2020_JE","15","15_90"
"72","110","N","20200831","1","5",90,"26/08/2020","JE","110_N",1,"20200831_26/08/2020_JE","15","15_90"
"97","115","N","20200831","1","5",89.5,"26/08/2020","JE","115_N",1,"20200831_26/08/2020_JE","15","15_89.5"
"98","115","N","20200831","1","5",89.5,"26/08/2020","JE","115_N",1,"20200831_26/08/2020_JE","15","15_89.5"
"99","115","N","20200831","1","5",89.5,"26/08/2020","JE","115_N",1,"20200831_26/08/2020_JE","15","15_89.5"
"100","115","N","20200831","1","5",89.5,"26/08/2020","JE","115_N",1,"20200831_26/08/2020_JE","15","15_89.5"
"101","115","N","20200831","1","5",89.5,"26/08/2020","JE","115_N",1,"20200831_26/08/2020_JE","15","15_89.5"
"102","115","N","20200831","1","5",89.5,"26/08/2020","JE","115_N",1,"20200831_26/08/2020_JE","15","15_89.5"
"133","120","N","20200915","1","5",89,"26/08/2020","JE","120_N",1,"20200915_26/08/2020_JE","15","15_89"
"134","120","N","20200915","1","5",89,"26/08/2020","JE","120_N",1,"20200915_26/08/2020_JE","15","15_89"
"135","120","N","20200915","1","5",89,"26/08/2020","JE","120_N",1,"20200915_26/08/2020_JE","15","15_89"
"136","120","N","20200915","1","5",89,"26/08/2020","JE","120_N",1,"20200915_26/08/2020_JE","15","15_89"
"137","120","N","20200915","1","5",89,"26/08/2020","JE","120_N",1,"20200915_26/08/2020_JE","15","15_89"
"138","120","N","20200915","1","5",89,"26/08/2020","JE","120_N",1,"20200915_26/08/2020_JE","15","15_89"
"163","125","N","20200831","1","5",88.5,"26/08/2020","JE","125_N",1,"20200831_26/08/2020_JE","15","15_88.5"
"164","125","N","20200831","1","5",88.5,"26/08/2020","JE","125_N",1,"20200831_26/08/2020_JE","15","15_88.5"
"165","125","N","20200831","1","5",88.5,"26/08/2020","JE","125_N",1,"20200831_26/08/2020_JE","15","15_88.5"
"166","125","N","20200831","1","5",88.5,"26/08/2020","JE","125_N",1,"20200831_26/08/2020_JE","15","15_88.5"
"167","125","N","20200831","1","5",88.5,"26/08/2020","JE","125_N",1,"20200831_26/08/2020_JE","15","15_88.5"
"168","125","N","20200831","1","5",88.5,"26/08/2020","JE","125_N",1,"20200831_26/08/2020_JE","15","15_88.5"
"199","130","N","20200904","1","5",88,"26/08/2020","JE","130_N",1,"20200904_26/08/2020_JE","15","15_88"
"200","130","N","20200904","1","5",88,"26/08/2020","JE","130_N",1,"20200904_26/08/2020_JE","15","15_88"
"201","130","N","20200904","1","5",88,"26/08/2020","JE","130_N",1,"20200904_26/08/2020_JE","15","15_88"
"202","130","N","20200904","1","5",88,"26/08/2020","JE","130_N",1,"20200904_26/08/2020_JE","15","15_88"
"203","130","N","20200904","1","5",88,"26/08/2020","JE","130_N",1,"20200904_26/08/2020_JE","15","15_88"
"204","130","N","20200904","1","5",88,"26/08/2020","JE","130_N",1,"20200904_26/08/2020_JE","15","15_88"
"229","135","N","20200908","1","5",87.5,"26/08/2020","JE","135_N",1,"20200908_26/08/2020_JE","15","15_87.5"
"230","135","N","20200908","1","5",87.5,"26/08/2020","JE","135_N",1,"20200908_26/08/2020_JE","15","15_87.5"
"231","135","N","20200908","1","5",87.5,"26/08/2020","JE","135_N",1,"20200908_26/08/2020_JE","15","15_87.5"
"232","135","N","20200908","1","5",87.5,"26/08/2020","JE","135_N",1,"20200908_26/08/2020_JE","15","15_87.5"
"233","135","N","20200908","1","5",87.5,"26/08/2020","JE","135_N",1,"20200908_26/08/2020_JE","15","15_87.5"
"234","135","N","20200908","1","5",87.5,"26/08/2020","JE","135_N",1,"20200908_26/08/2020_JE","15","15_87.5"
"265","140","N","20200916","1","5",87,"26/08/2020","JE","140_N",1,"20200916_26/08/2020_JE","15","15_87"
"266","140","N","20200916","1","5",87,"26/08/2020","JE","140_N",1,"20200916_26/08/2020_JE","15","15_87"
"267","140","N","20200916","1","5",87,"26/08/2020","JE","140_N",1,"20200916_26/08/2020_JE","15","15_87"
"268","140","N","20200916","1","5",87,"26/08/2020","JE","140_N",1,"20200916_26/08/2020_JE","15","15_87"
"269","140","N","20200916","1","5",87,"26/08/2020","JE","140_N",1,"20200916_26/08/2020_JE","15","15_87"
"270","140","N","20200916","1","5",87,"26/08/2020","JE","140_N",1,"20200916_26/08/2020_JE","15","15_87"
"295","145","N","20200909","1","5",86.5,"26/08/2020","JE","145_N",1,"20200909_26/08/2020_JE","15","15_86.5"
"296","145","N","20200909","1","5",86.5,"26/08/2020","JE","145_N",1,"20200909_26/08/2020_JE","15","15_86.5"
"297","145","N","20200909","1","5",86.5,"26/08/2020","JE","145_N",1,"20200909_26/08/2020_JE","15","15_86.5"
"298","145","N","20200909","1","5",86.5,"26/08/2020","JE","145_N",1,"20200909_26/08/2020_JE","15","15_86.5"
"299","145","N","20200909","1","5",86.5,"26/08/2020","JE","145_N",1,"20200909_26/08/2020_JE","15","15_86.5"
"300","145","N","20200909","1","5",86.5,"26/08/2020","JE","145_N",1,"20200909_26/08/2020_JE","15","15_86.5"
"325","15","N","20200902","1","5",99.5,"26/08/2020","Jo","15_N",1,"20200902_26/08/2020_Jo","15","15_99.5"
"326","15","N","20200902","1","5",99.5,"26/08/2020","Jo","15_N",1,"20200902_26/08/2020_Jo","15","15_99.5"
"327","15","N","20200902","1","5",99.5,"26/08/2020","Jo","15_N",1,"20200902_26/08/2020_Jo","15","15_99.5"
"328","15","N","20200902","1","5",99.5,"26/08/2020","Jo","15_N",1,"20200902_26/08/2020_Jo","15","15_99.5"
"329","15","N","20200902","1","5",99.5,"26/08/2020","Jo","15_N",1,"20200902_26/08/2020_Jo","15","15_99.5"
"330","15","N","20200902","1","5",99.5,"26/08/2020","Jo","15_N",1,"20200902_26/08/2020_Jo","15","15_99.5"
"331","150","N","20200901","1","5",86,"26/08/2020","JE","150_N",1,"20200901_26/08/2020_JE","15","15_86"
"332","150","N","20200901","1","5",86,"26/08/2020","JE","150_N",1,"20200901_26/08/2020_JE","15","15_86"
"333","150","N","20200901","1","5",86,"26/08/2020","JE","150_N",1,"20200901_26/08/2020_JE","15","15_86"
"334","150","N","20200901","1","5",86,"26/08/2020","JE","150_N",1,"20200901_26/08/2020_JE","15","15_86"
"335","150","N","20200901","1","5",86,"26/08/2020","JE","150_N",1,"20200901_26/08/2020_JE","15","15_86"
"336","150","N","20200901","1","5",86,"26/08/2020","JE","150_N",1,"20200901_26/08/2020_JE","15","15_86"
"361","155","N","20200909","1","5",85.5,"26/08/2020","JE","155_N",1,"20200909_26/08/2020_JE","15","15_85.5"
"362","155","N","20200909","1","5",85.5,"26/08/2020","JE","155_N",1,"20200909_26/08/2020_JE","15","15_85.5"
"363","155","N","20200909","1","5",85.5,"26/08/2020","JE","155_N",1,"20200909_26/08/2020_JE","15","15_85.5"
"364","155","N","20200909","1","5",85.5,"26/08/2020","JE","155_N",1,"20200909_26/08/2020_JE","15","15_85.5"
"365","155","N","20200909","1","5",85.5,"26/08/2020","JE","155_N",1,"20200909_26/08/2020_JE","15","15_85.5"
"366","155","N","20200909","1","5",85.5,"26/08/2020","JE","155_N",1,"20200909_26/08/2020_JE","15","15_85.5"
"397","160","N","20200831","1","5",85,"26/08/2020","JE","160_N",1,"20200831_26/08/2020_JE","15","15_85"
"398","160","N","20200831","1","5",85,"26/08/2020","JE","160_N",1,"20200831_26/08/2020_JE","15","15_85"
"399","160","N","20200831","1","5",85,"26/08/2020","JE","160_N",1,"20200831_26/08/2020_JE","15","15_85"
"400","160","N","20200831","1","5",85,"26/08/2020","JE","160_N",1,"20200831_26/08/2020_JE","15","15_85"
"401","160","N","20200831","1","5",85,"26/08/2020","JE","160_N",1,"20200831_26/08/2020_JE","15","15_85"
"402","160","N","20200831","1","5",85,"26/08/2020","JE","160_N",1,"20200831_26/08/2020_JE","15","15_85"
"427","165","N","20200908","1","5",80,"26/08/2020","JE","165_N",1,"20200908_26/08/2020_JE","15","15_80"
"428","165","N","20200908","1","5",80,"26/08/2020","JE","165_N",1,"20200908_26/08/2020_JE","15","15_80"
"429","165","N","20200908","1","5",80,"26/08/2020","JE","165_N",1,"20200908_26/08/2020_JE","15","15_80"
"430","165","N","20200908","1","5",80,"26/08/2020","JE","165_N",1,"20200908_26/08/2020_JE","15","15_80"
"431","165","N","20200908","1","5",80,"26/08/2020","JE","165_N",1,"20200908_26/08/2020_JE","15","15_80"
"432","165","N","20200908","1","5",80,"26/08/2020","JE","165_N",1,"20200908_26/08/2020_JE","15","15_80"
"463","170","N","20200907","1","5",70,"26/08/2020","JE","170_N",1,"20200907_26/08/2020_JE","15","15_70"
"464","170","N","20200907","1","5",70,"26/08/2020","JE","170_N",1,"20200907_26/08/2020_JE","15","15_70"
"465","170","N","20200907","1","5",70,"26/08/2020","JE","170_N",1,"20200907_26/08/2020_JE","15","15_70"
